"netease_id","qq_id","name","artist","album","ne_name","ne_artist","qq_name","qq_artist","match_source","synced"
"101106","1647643","风起天阑","河图","风起天阑","风起天阑","河图","风起天阑","河图","manual","1"
"101120","1647648","伶仃谣","河图","风起天阑","伶仃谣","河图","","","manual","1"
"1294910588","213016722","逆光","坂本真綾","逆光","逆光","坂本真綾","逆光","坂本真綾","manual","1"
"1297802566","404804657","盗墓笔记·十年人间","李常超 (Lao乾妈)","盗墓笔记·十年人间","盗墓笔记·十年人间","李常超 (Lao乾妈)","","","manual","1"
"1298646758","240711173","雪の雫","","","雪の雫","","雪の雫","高桥优","manual","1"
"1303028512","203845506","Dimple","BTS (防弹少年团)","LOVE YOURSELF 結 'Answer'","Dimple","BTS (防弹少年团)","","","manual","1"
"1305366565","247511374","春夏秋冬","sumika","ファンファーレ / 春夏秋冬","春夏秋冬","sumika","春夏秋冬","sumika","manual","1"
"1311131081","230397538","秘密 (movie ver.)","sumika","劇場アニメ 君の膵臓をたべたい オリジナル・サウンドトラック","秘密 (movie ver.)","sumika","秘密","sumika","manual","1"
"1313052943","217935874","不可思議のカルテ","瀬戸麻沙美","【青春ブタ野郎はバニーガール先輩の夢を見ない】不可思議のカルテ","不可思議のカルテ","瀬戸麻沙美","不可思議のカルテ","瀬戸麻沙美","manual","1"
"1313107065","639985503","RISE","英雄联盟","RISE","RISE","英雄联盟","","","manual","1"
"1313107902","217998922","君のせい","the peggies","君のせい","君のせい","the peggies","","","manual","1"
"1313354324","217563282","出山","花粥","粥请客（四）","出山","花粥","","","manual","1"
"1318880077","218611582","Flamingo","米津玄師","Flamingo / TEENAGE RIOT","Flamingo","米津玄師","","","manual","1"
"1319146111","236114794","月满清爵","李蚊香","月满清爵","月满清爵","李蚊香","月满清爵","李蚊香","manual","1"
"1320634307","218764498","伴宅日记","织梦令","【H6】半宅日记（人声版）","伴宅日记","织梦令","伴宅日记","千月兔","manual","1"
"1321297488","450628576","跟太阳系说再见","祝乾亮","起航","跟太阳系说再见","祝乾亮","","","manual","1"
"1321874925","310083400","栖凰","三无Marblue","栖凰（Cover 忘川风华录）","栖凰","三无Marblue","栖凰","三无Marblue","manual","1"
"1324466790","229002476","LOSER","电鸟个灯泡","LOSER","LOSER","电鸟个灯泡","","","manual","1"
"1328183119","222530517","Cage <NTv>","SawanoHiroyuki[nZk]","narrative / NOISEofRAIN","Cage <NTv>","SawanoHiroyuki[nZk]","","","manual","1"
"1338264578","226804371","花びらたちのマーチ","Aimer","I beg you / 花びらたちのマーチ / Sailing","花びらたちのマーチ","Aimer","花びらたちのマーチ","Aimer","manual","1"
"1342950406","228283602","カワキヲアメク","美波","カワキヲアメク","カワキヲアメク","美波","カワキヲアメク","美波","manual","1"
"1344065160","","藤原千花角色歌-テカっとチカ千花っ（翻自 小原好美）","Hanser","hanser唱的歌(181016开始的","藤原千花角色歌-テカっとチカ千花っ（翻自 小原好美）","Hanser","","","unmatched",""
"1344936","102689906","The Riddle (Album Version)","Five for Fighting","Playlist: The Very Best Of Five For Fighting","The Riddle (Album Version)","Five for Fighting","","","manual","1"
"1345368792","229524726","冠世一战","言和","冠世一战","冠世一战","言和","冠世一战","言和","manual","1"
"1345488418","231706700","inside you","milet","inside you EP","inside you","milet","","","manual","1"
"1350658663","229387533","山河图","凤凰传奇","山河图","山河图","凤凰传奇","山河图","凤凰传奇","manual","1"
"1355199480","250441761","【粤语填词】ラブ・ドラマティック（辉夜大小姐想让我告白OP）","魔术肥","辉夜大小姐想让我告白OP","【粤语填词】ラブ・ドラマティック（辉夜大小姐想让我告白OP）","魔术肥","","","manual","1"
"1357775528","233199557","コイワズライ","Aimer","Sun Dance","コイワズライ","Aimer","","","manual","1"
"1361188105","352005483","チカっとチカ千花っ","小原好美","チカっとチカ千花っ","チカっとチカ千花っ","小原好美","チカっとチカ千花っ","小原好美","name_artist","1"
"1363303614","237769590","STAND-ALONE","Aimer","STAND-ALONE","STAND-ALONE","Aimer","STAND-ALONE","Aimer","manual","1"
"1365924378","232362004","Pretender","Official髭男dism","Pretender","Pretender","Official髭男dism","Pretender","Official髭男dism","manual","1"
"1369768735","203639610","JUSTICE","貴水博之","仮面ライダーエグゼイド TV主題歌&挿入歌 ベストソングコレクション","JUSTICE","貴水博之","","","manual","1"
"1378491298","326990541","愛にできることはまだあるかい","RADWIMPS","天気の子","愛にできることはまだあるかい","RADWIMPS","","","manual","1"
